romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Judie	ユーディー	あれ、レスナじゃない！　また会ったわね！	Judie	Oh, Resna! It's good to see you again!	优蒂	咦，这不是蕾斯娜吗！又见面了！	優蒂	咦？這不是蕾斯娜嗎！？我們又見面了！
Resna	レスナ	ユーディット先輩！　ご無沙汰しております！	Resna	Miss Judie! Sorry, I haven't been doing a good job of keeping in touch.	蕾斯娜	优蒂托前辈！好久不见！	蕾斯娜	優蒂前輩！好久不見了！
Judie	ユーディー	"あはは、そこまでご無沙汰じゃないと思うけど。
そういえば、例の課題ってどうなったの？"	Judie	Ahaha, that's nothing you need to apologize for. That said, did you manage to finish that task of yours?	优蒂	"哈哈哈，也没那么久吧。
对了，之前的课题怎么样了？"	優蒂	"啊哈哈，我想應該也沒那麼久啦。
話說回來，妳之前的課題怎麼樣了？"
Resna	レスナ	"無事達成できました！
これも先輩方のご指導のお陰です！"	Resna	I did! And your guidance played a big part in that!	蕾斯娜	"顺利完成了！
这也多亏有各位前辈指导！"	蕾斯娜	"我順利完成了！
這也是多虧了各位前輩的指導！"
Judie	ユーディー	そっか、良かったじゃない！	Judie	Wonderful! I'm glad to hear it!	优蒂	是吗！那太好了！	優蒂	這樣啊，真是太好了！
Resna	レスナ	"ユーディット先輩はその後いかがですか？
今もキースグリフさんと一緒に旅を？"	Resna	How did everything go for you, Miss Judie? Are you still traveling with Keithgriff?	蕾斯娜	"优蒂托前辈上次分开后在做什么？
还是和奇斯葛里夫先生在一起旅行吗？"	蕾斯娜	"優蒂前輩在那之後過得怎麼樣呢？
現在也還在和奇斯葛里夫先生一起旅行嗎？"
Judie	ユーディー	"そうなんだけど、キースさんまた勝手にどこかに
行っちゃったのよ……。だから探し中"	Judie	Yes, but Mr. Keith has run off on his own again. I've been trying to find him, actually...	优蒂	"对，但是奇斯又不打招呼不知道跑哪去了……
所以我现在在找他。"	優蒂	"是啊，但奇斯先生又不知道
亂跑到哪兒去了……所以我正在找他。"
Resna	レスナ	そ、そうなんですか……	Resna	Y-You don't say...	蕾斯娜	这、这样啊……	蕾斯娜	是、是這樣啊……
Judie	ユーディー	"とりあえず今のところはお金にも困ってないし、
すぐに合流できなくてもいいけどね"	Judie	Well, I'm not so desperate for Cole this time, so it's okay if it takes a little while to track him down.	优蒂	"总之现在我不愁钱的事，
就算一下子找不到也没关系。"	優蒂	"反正我現在也不缺錢，
不能馬上和他會合也無所謂就是了。"
Resna	レスナ	"あの、もし私が力になれることがあったら、
ぜひお手伝いさせてください！"	Resna	Um, if there's anything I can do to help, please let me know!	蕾斯娜	"如果有需要我帮忙的地方，
也一定不用客气！"	蕾斯娜	"那個，如果有什麼我能幫忙的，
請妳務必要跟我說喔！"
Judie	ユーディー	"ありがと。その時は相談するよ。
じゃあまたね、レスナ！"	Judie	Thanks, I appreciate the offer. See you later, Resna!	优蒂	"谢啦。有需要的话我会找你。
那再见啦，蕾斯娜！"	優蒂	"謝謝妳，到時候我會再找妳談的。
再會囉，蕾斯娜！"
Resna	レスナ	はい！	Resna	Bye!	蕾斯娜	再见！	蕾斯娜	好的！
