romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Sophie	ソフィー	アーシャさん、何か分かりましたか？	Sophie	Have you figured anything out, Ayesha?	苏菲	爱夏小姐，有什么发现吗？	蘇菲	愛夏小姐，有分析出什麼了嗎？
Ayesha	アーシャ	思った通り、複数の毒が組み合わさってるみたい	Ayesha	I was right, it looks like this IS a blend of different toxins.	爱夏	和我想的一样，确实有多种毒素混合在了一起。	愛夏	如我所料，這似乎是由多種毒素組成的。
Sophie	ソフィー	"あの魔物が、地下水道に溜まった汚水を
片っ端から取り込んでたって感じですかね？"	Sophie	Because that monster just went and absorbed all the sewage that had gathered in the waterways, right?	苏菲	由此推测那只魔物可能把下水道里的污水全都吸了进去？	蘇菲	"那隻魔物是吸收了
所有累積在地下水道的汙水嗎？"
Ayesha	アーシャ	多分、そうだね	Ayesha	Most likely.	爱夏	嗯，差不多。	愛夏	可能是這樣。
Ayesha	アーシャ	"でも、そうなると……どんな素材がしっかり毒に
効くのか、突き止めるのが大変かも"	Ayesha	But with all those toxins, it'll be difficult to pinpoint which combination of ingredients will work best.	爱夏	"但是这样一来……
想确切查明什么素材能有效解毒会是一个大工程。"	愛夏	"不過，這樣一來……或許要費一番工夫
才查得出哪種素材能有效解毒了。"
Wilbell	ウィルベル	アーシャでも手こずるのね……	Wilbell	So this is a real head-scratcher, even for you? That's unfortunate...	薇尔贝儿	连爱夏都被难倒了啊……	薇爾貝兒	連愛夏都覺得很棘手啊……
Sophie	ソフィー	"それなら、効きそうな素材を片っ端から
採ってきましょう！"	Sophie	Then we'll just have to grab everything that we think could help!	苏菲	那我们就把可能有用的素材都找过来吧！	蘇菲	"既然如此，那把可能會有效的素材
全都採回來吧！"
Miruca	ミルカ	"それはいいけど……採取は他の人に任せても
いいんじゃない？　"	Miruca	That's all well and good, but shouldn't you all leave the gathering to someone else?　	米尔卡	"可以是可以……
但最好拜托其他人去帮忙采集吧？　"	米爾卡	"要這麼做也是無妨……
不過，應該可以交給其他人去採集吧？　"
Miruca	ミルカ	"今は大丈夫だけど、
いつ毒の症状が重くなるかも分からない"	Miruca	You might feel fine right now, but who's to say your symptoms won't get worse?	米尔卡	"虽说现在还没事，
但中毒症状说不准什么时候就会恶化。"	米爾卡	"雖然現在沒事，
但也不知道中毒的症狀什麼時候會惡化。"
Sophie	ソフィー	"ううん！　元々、自分で引き受けた仕事だし、
身体が動く限りは頑張ります！"	Sophie	We couldn't possibly! We were entrusted with this task from the start, so we'll be sure to see it through!	苏菲	"不行！这是我自己接下的任务，
只要身体还坚持得住，我都要尽力而为！"	蘇菲	"不！這份工作本來就是我自己要接的，
只要身體還能行動，我就會好好努力的！"
Miruca	ミルカ	……そ。じゃあ、行ってくれば	Miruca	If you insist... Well? Go on, then.	米尔卡	……这样。那你加油。	米爾卡	……是嗎？那妳就去吧。
Ayesha	アーシャ	ミルカちゃん……	Ayesha	Miruca...	爱夏	米尔卡……	愛夏	米爾卡……
Miruca	ミルカ	"一応、あなたが途中で倒れた時のために、
助っ人を呼んでくる。絶対、無理はしないで"	Miruca	I'm going to go call for backup on the off chance that you collapse halfway through. Still, that doesn't mean you should do anything rash.	米尔卡	"我会去找人帮忙，以防你中途倒下。
千万不要勉强自己。"	米爾卡	"為保險起見我先去找個幫手，以免妳在途中倒下。
絕對不要勉強自己。"
Sophie	ソフィー	――――！　はい！	Sophie	Oh! Okay!	苏菲	——唔！我知道了！	蘇菲	────！好！
Ayesha	アーシャ	"わたしはソフィーちゃんについてくね。
ベルちゃんは？"	Ayesha	I'll go with you, Sophie. What will you do, Bell?	爱夏	"我要和苏菲一起去。
贝儿你呢？"	愛夏	"我要跟蘇菲一起去喔。
貝兒妳呢？"
Wilbell	ウィルベル	"行くに決まってるでしょ！
さっさとこの、うっとうしい毒を治すわよ！"	Wilbell	Obviously I'm going too! Come on! The sooner we go, the sooner we can ditch this poison!	薇尔贝儿	"我当然也要一起去啦！
赶紧把这烦人的毒解掉吧！"	薇爾貝兒	"當然要去囉！
我們趕緊解決掉這個煩人的毒吧！"
Sophie	ソフィー	じゃあ、行きましょう！　癒しの花園へ！	Sophie	All right! Back to the Garden of Healing!	苏菲	那我们这就前往治愈花园吧！	蘇菲	那就出發吧！前往治癒花園！
