romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Shallistera	シャリステラ	はぁ……歌がまだ耳の中で響いてるみたい	Shallistera	*Sigh* I feel like I'll remember his voice for a long time.	夏莉丝堤拉	呼……耳边仿佛还有歌声的余韵呢。	夏莉絲堤菈	呼……感覺歌聲還迴盪在耳邊。
Shallotte	シャルロッテ	楽しかったねぇ……あれ？	Shallotte	What a great time that was... Huh?	夏露罗蒂	玩得好开心啊……咦？	夏露羅蒂	剛剛真開心……咦？
Shallotte	シャルロッテ	母さんとライザさん？　どうしたんだろ？	Shallotte	Is that my mom and Ryza? What's going on?	夏露罗蒂	是妈妈和莱莎小姐？她们在做什么？	夏露羅蒂	是媽媽和萊莎小姐？發生什麼事了？
Shallistera	シャリステラ	"何か真面目な話をしてるみたい？　
邪魔したら悪い、かな？"	Shallistera	Looks like they're talking about something serious. Maybe we shouldn't bother them.	夏莉丝堤拉	"好像在聊什么严肃的话题？
我们还是别去打扰了吧？"	夏莉絲堤菈	"好像在聊很重要的事？
是不是……別打斷比較好？"
Nady	ナディ	うーん。どれがいいかしらね	Nady	Hmm. Which one should we go with?	娜蒂	唔……哪个比较好呢？	娜蒂	唔～選哪個好呢……
Ryza	ライザ	"あの二人が楽しめる依頼でしょ？
このへんのヤツなら、どれもいけるんじゃないかなあ？"	Ryza	Well, it should be something those two can enjoy, right? So any of these here should work.	莱莎	"要的是能让她们都开心的委托吧？
我觉得这些不都挺合适的吗？"	萊莎	"如果是希望她們開心，
這附近隨便哪個委託都可以吧？"
Nady	ナディ	そうねぇ。今の感じなら大丈夫かな	Nady	Yeah, you're right. In that case, that one should be fine.	娜蒂	也对，照现在的情况看应该没问题。	娜蒂	確實……像現在這樣應該就行了。
Shallotte	シャルロッテ	母さん！？　ひょっとして気を回してくれてたの！？	Shallotte	Mom?! Wait, has all this been your way of looking out for us?	夏露罗蒂	妈妈？！你该不会是特地为我们挑的委托吧？！	夏露羅蒂	媽媽！？難道妳一直都在為我們操心嗎！？
Shallistera	シャリステラ	"わたしたちが楽しめるように……
そんな風に気遣ってくれてたなんて"	Shallistera	Something we can enjoy? I didn't realize you were doing all this for us.	夏莉丝堤拉	"为了让我们开心……
居然想得这么周到……"	夏莉絲堤菈	"希望我們能開心……
沒想到妳居然如此關心我們。"
Nady	ナディ	やだ、バレちゃった	Nady	Oops, you caught me!	娜蒂	讨厌，被你们发现了。	娜蒂	討厭，被發現了。
