romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
	村人	"ごめんなさいね、いつも魔物が出たら
頼っちゃって"	Villager	Sorry for the trouble, we always end up calling you when we have monster problems...	村民	"真是麻烦你们了，
每次一有魔物出现就来拜托你们。"	村民	真不好意思，每次魔物出現就麻煩妳們。
Heidi	ハイディ	"いえいえ、気兼ねなくお任せください！
もうすぐヴァレリアも来ると思うんで……
って、あれ？"	Heidi	It's no trouble at all, just leave those monsters to us! Valeria should be here any minute now, so... Huh?	海蒂	"不麻烦的，请放宽心交给我们！
瓦莱莉娅很快就来……
咦？"	海蒂	"不會不會，請放心交給我們吧！
瓦萊莉婭應該也快來了……
等等，咦？"
Valeria	ヴァレリア	…………	Valeria	...	瓦莱莉娅	……	瓦萊莉婭	…………
Heidi	ハイディ	ヴァレリア……？	Heidi	Valeria...?	海蒂	瓦莱莉娅……？	海蒂	瓦萊莉婭……？
Valeria	ヴァレリア	"ああ、ごめんなさい。
さっさと倒しに行きましょ"	Valeria	Oh, sorry. Let's go take care of those monsters.	瓦莱莉娅	"啊，抱歉。
我们赶紧去打倒它们吧！"	瓦萊莉婭	啊，抱歉。我們快點出發去打魔物吧。
Heidi	ハイディ	"全然大したことなかったね。
これで報酬貰えちゃうんだから
美味しい仕事……"	Heidi	That was a piece of cake! Don't you just love getting paid for easy jobs?	海蒂	"不堪一击嘛，
三两下就能拿到报酬，
这工作可真轻松……"	海蒂	"沒什麼了不起的嘛。
打倒牠就能領到報酬，
這真是一門好生意……"
Valeria	ヴァレリア	はぁ……	Valeria	*Sigh*...	瓦莱莉娅	唉……	瓦萊莉婭	唉……
Heidi	ハイディ	どうしたの？　なんかあった？	Heidi	What's wrong, Valeria? Something on your mind?	海蒂	怎么了？发生什么事了？	海蒂	怎麼了？有什麼事嗎？
Valeria	ヴァレリア	"この前、贈り物探しを
手伝ってもらったでしょ？"	Valeria	You know how you were helping me look for presents before?	瓦莱莉娅	之前让你帮我挑礼物了吧？	瓦萊莉婭	我之前不是請妳幫我一起找禮物嗎？
Valeria	ヴァレリア	"あれからも色々お店を巡って
これだ！　って思える贈り物を
やっと見つけたの"	Valeria	Well, after that, I kept looking and looking...and I finally found the perfect present.	瓦莱莉娅	"之后我也去了好多家店，
总算是找到了特别合适的礼物。"	瓦萊莉婭	"那天之後，我又四處走訪了很多店。
最後終於找到理想中的禮物了。"
