romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Izana	イザナ	"（レスナちゃんに合った体力作りを考えた結果、
　アタシはある方法を思いついた）"	Izana	(After thinking long and hard about how to help Resna develop her stamina, I came up with something that just might work.)	伊札娜	"（为了配合蕾斯娜的体质来增强体力，
　我想到了一个办法。）"	伊札娜	"（經過一番思考後，我想到了一個
　適合蕾斯娜增強體力的方法。）"
Izana	イザナ	"あ、レスナちゃん！
こっちこっち！"	Izana	Hey, Resna! Over here!	伊札娜	"啊，蕾斯娜！
来这里！"	伊札娜	啊，蕾斯娜！這邊這邊！
Resna	レスナ	"どうしたの？
カフェに呼び出して"	Resna	What is it, Izana? Why did you want to meet at the cafe?	蕾斯娜	特地喊我来咖啡厅是要做什么呢？	蕾斯娜	妳找我來咖啡廳是怎麼了嗎？
Izana	イザナ	"ねえ、レスナちゃん。
この依頼を受けてみない？"	Izana	Check this out! I have a new request for us to take on!	伊札娜	蕾斯娜，你要不要接下这个委托啊？	伊札娜	蕾斯娜，妳要不要接接看這個委託？
Resna	レスナ	"「とある素材が２種類必要なのですが、
　ケガで収集に行けずに困っています」"	Resna	"""I'm in need of two very important materials. However, because I'm injured, I can't go out and gather them myself."""	蕾斯娜	"“我需要两种素材，
但我受了伤没办法去采集，很头疼。”"	蕾斯娜	"「我需要某2種素材，
　但因為受了傷無法前去採集而感到困擾。」"
Resna	レスナ	「まず１つ目の素材は……」	Resna	"""The first material I need is..."""	蕾斯娜	“第1个素材是……”	蕾斯娜	「首先，第1種素材是……」
Resna	レスナ	これは！	Resna	Oh my goodness!	蕾斯娜	这是……！	蕾斯娜	這是！
Resna	レスナ	"かの第３代国王ルキウスが錬金術を
推奨するきっかけとなった、伝説の……！"	Resna	This material is legendary! It's said to be the spark that ignited King Lucius's passion for alchemy!	蕾斯娜	"传说中的素材，
也是第3代国王鲁奇斯推行炼金术的契机……！"	蕾斯娜	"讓第3代國王路奇烏斯開始推薦鍊金術的契機，
是傳說中的……！"
Izana	イザナ	え、そんなすごいものなんだ	Izana	Oh, wow! I didn't realize it was so important.	伊札娜	啊，是这么厉害的东西吗……	伊札娜	咦，是那麼厲害的東西啊？
Resna	レスナ	"２つ目の素材もすごいよ！
第４代国王サビーナの時代に発見されたんだけど……"	Resna	And the second material is just as magnificent! It was discovered during the reign of Queen Sabina, Lucius's successor.	蕾斯娜	"第二个素材也很厉害哦！
是在第4代国王萨比娜时期发现的……"	蕾斯娜	"第2種素材也很厲害喔！
那是在第4代國王薩比娜的時代被人發現的……"
