romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Resna	レスナ	"（イザナちゃんとの待ち合わせまで、
　まだ時間がある。何しようかな）"	Resna	(There's still a bit of time before I meet up with Izana. What should I do for now?)	蕾斯娜	"（距离跟伊札娜约好的时间还有一会儿，
　干点什么好呢？）"	蕾斯娜	"（和伊札娜碰面之前還有一點時間，
　要做什麼好呢？）"
Resna	レスナ	（あ、ララさんだ）	Resna	(Oh, look! It's Lara!)	蕾斯娜	（啊，是拉拉小姐。）	蕾斯娜	（啊，是拉拉小姐！）
Resna	レスナ	ララさん、こんにちは！	Resna	Hi, Lara!	蕾斯娜	拉拉小姐，你好！	蕾斯娜	拉拉小姐，午安！
Lara	ララ	"あらレスナ、1週間ぶりですわね。
どうしましたの？"	Lara	Oh, Resna. I haven't seen you since last week. Is something amiss?	拉拉	"啊，蕾斯娜，一周没见了。
有什么事吗？"	拉拉	"哎呀，蕾斯娜，一週沒見了呢。
怎麼了嗎？"
Resna	レスナ	"ララさんの姿が見えたので。
今日はどうしたんですか？"	Resna	No, I just wanted to say hello. What are you up to today?	蕾斯娜	"我就是碰巧看到你了。
今天是有什么事呢？"	蕾斯娜	"看到拉拉小姐所以來打聲招呼。
妳今天有什麼事嗎？"
Lara	ララ	"今日は、新たな知識をつけるために
本を買いに来ましたの"	Lara	I've returned once again in search of knowledge, so I'm here to buy a new book.	拉拉	今天我是为了汲取新的知识，来买书的。	拉拉	我今天是來買書的，想學習一些新知識。
Lara	ララ	"この間の虫の件で、わたくしはまだまだ
知識不足なのだと痛感いたしました"	Lara	That plague of pests made me painfully aware of that which I lack: knowledge.	拉拉	"上次虫子的那件事，
让我深刻体会到自己的知识还远远不够。"	拉拉	"前幾天的害蟲事件，
讓我深切感受到自己的知識仍遠遠不足。"
Lara	ララ	"王である以上、錬金術や政治以外の
知識も身につけねばと思いまして"	Lara	To rule well, I'll need to know much more than just alchemy and politics.	拉拉	"既然我是国王，
就必须掌握炼金术和政治以外的知识。"	拉拉	"既然身為君主，我也得多學習鍊金術
與政治之外的知識才行。"
Lara	ララ	"こう思えたのも、
あなたのおかげですのよ、レスナ"	Lara	And you, Resna, are the one who taught me that.	拉拉	"我之所以能这么想，
也是因为你哦，蕾斯娜。"	拉拉	我能想通這件事，也都是多虧了妳喔，蕾斯娜。
		光栄です		I'm honored.		我很荣幸		這是我的榮幸
